Timestamp,SF_Level,Game_No,Color,Result,Win,Draw,Loss
2025-12-10 09:57:55,5,27,White,0,0,1,0
2025-12-10 10:00:05,5,28,Black,1,1,0,0
2025-12-10 10:01:42,5,29,White,1,1,0,0
2025-12-10 10:04:06,5,30,Black,1,1,0,0
2025-12-10 10:07:27,5,31,White,1,1,0,0
2025-12-10 10:09:40,5,32,Black,1,1,0,0
2025-12-10 10:12:13,5,33,White,-1,0,0,1
2025-12-10 10:13:28,5,34,Black,-1,0,0,1
2025-12-10 10:16:55,5,35,White,1,1,0,0
2025-12-10 10:19:04,5,36,Black,1,1,0,0
2025-12-10 10:22:49,5,37,White,1,1,0,0
2025-12-10 10:25:52,5,38,Black,1,1,0,0
2025-12-10 10:28:24,5,39,White,0,0,1,0
2025-12-10 10:30:54,5,40,Black,1,1,0,0
2025-12-10 10:33:26,5,41,White,0,0,1,0
2025-12-10 10:36:23,5,42,Black,-1,0,0,1
2025-12-10 10:38:29,5,43,White,1,1,0,0
2025-12-10 10:40:39,5,44,Black,0,0,1,0
2025-12-10 10:42:50,5,45,White,1,1,0,0
2025-12-10 10:45:29,5,46,Black,1,1,0,0
2025-12-10 10:46:54,5,47,White,1,1,0,0
2025-12-10 10:49:38,5,48,Black,0,0,1,0
2025-12-10 10:51:23,5,49,White,1,1,0,0
2025-12-10 10:53:59,5,50,Black,-1,0,0,1
2025-12-10 10:56:25,6,1,White,1,1,0,0
2025-12-10 10:58:49,6,2,Black,0,0,1,0
2025-12-10 11:01:45,6,3,White,-1,0,0,1
2025-12-10 11:04:18,6,4,Black,0,0,1,0
2025-12-10 11:06:35,6,5,White,0,0,1,0
2025-12-10 11:09:42,6,6,Black,0,0,1,0
2025-12-10 11:14:47,6,7,White,1,1,0,0
2025-12-10 11:16:54,6,8,Black,1,1,0,0
2025-12-10 11:22:54,6,9,White,1,1,0,0
2025-12-10 11:27:03,6,10,Black,1,1,0,0
2025-12-10 11:28:54,6,11,White,1,1,0,0
2025-12-10 11:30:55,6,12,Black,-1,0,0,1
2025-12-10 11:32:59,6,13,White,1,1,0,0
2025-12-10 11:41:38,6,14,Black,0,0,1,0
2025-12-10 11:44:39,6,15,White,1,1,0,0
2025-12-10 11:46:55,6,16,Black,-1,0,0,1
2025-12-10 11:50:37,6,17,White,1,1,0,0
2025-12-10 11:54:13,6,18,Black,-1,0,0,1
2025-12-10 11:57:13,6,19,White,1,1,0,0
2025-12-10 12:00:17,6,20,Black,0,0,1,0
2025-12-10 12:03:27,6,21,White,1,1,0,0
2025-12-10 12:07:56,6,22,Black,0,0,1,0
2025-12-10 12:12:17,6,23,White,0,0,1,0
2025-12-10 12:15:09,6,24,Black,0,0,1,0
2025-12-10 12:16:49,6,25,White,1,1,0,0
2025-12-10 12:19:48,6,26,Black,0,0,1,0
2025-12-10 12:25:47,6,27,White,1,1,0,0
2025-12-10 12:28:42,6,28,Black,1,1,0,0
2025-12-10 12:31:41,6,29,White,-1,0,0,1
2025-12-10 12:33:19,6,30,Black,-1,0,0,1
2025-12-10 12:36:15,6,31,White,0,0,1,0
2025-12-10 12:38:56,6,32,Black,0,0,1,0
2025-12-10 12:41:40,6,33,White,0,0,1,0
2025-12-10 12:43:15,6,34,Black,-1,0,0,1
2025-12-10 12:46:00,6,35,White,1,1,0,0
2025-12-10 12:47:15,6,36,Black,1,1,0,0
2025-12-10 12:50:32,6,37,White,0,0,1,0
2025-12-10 12:54:34,6,38,Black,1,1,0,0
2025-12-10 12:58:35,6,39,White,1,1,0,0
2025-12-10 13:01:52,6,40,Black,0,0,1,0
2025-12-10 13:04:20,6,41,White,1,1,0,0
2025-12-10 13:07:03,6,42,Black,1,1,0,0
2025-12-10 13:10:12,6,43,White,0,0,1,0
2025-12-10 13:13:06,6,44,Black,1,1,0,0
2025-12-10 13:15:45,6,45,White,0,0,1,0
2025-12-10 13:17:30,6,46,Black,-1,0,0,1
2025-12-10 13:20:26,6,47,White,-1,0,0,1
2025-12-10 13:30:32,6,48,Black,0,0,1,0
2025-12-10 13:33:20,6,49,White,1,1,0,0
2025-12-10 13:36:31,6,50,Black,0,0,1,0
2025-12-10 13:37:18,7,1,White,-1,0,0,1
2025-12-10 13:39:08,7,2,Black,-1,0,0,1
2025-12-10 13:42:27,7,3,White,0,0,1,0
2025-12-10 13:45:53,7,4,Black,-1,0,0,1
2025-12-10 13:47:34,7,5,White,1,1,0,0
2025-12-10 13:50:35,7,6,Black,1,1,0,0
2025-12-10 13:52:40,7,7,White,-1,0,0,1
2025-12-10 13:55:32,7,8,Black,0,0,1,0
2025-12-10 13:57:05,7,9,White,1,1,0,0
2025-12-10 13:58:59,7,10,Black,-1,0,0,1
2025-12-10 14:00:59,7,11,White,-1,0,0,1
2025-12-10 14:02:30,7,12,Black,-1,0,0,1
2025-12-10 14:05:59,7,13,White,1,1,0,0
2025-12-10 14:08:45,7,14,Black,-1,0,0,1
2025-12-10 14:13:10,7,15,White,-1,0,0,1
2025-12-10 14:13:59,7,16,Black,-1,0,0,1
2025-12-10 14:17:51,7,17,White,0,0,1,0
2025-12-10 14:20:31,7,18,Black,1,1,0,0
2025-12-10 14:23:54,7,19,White,-1,0,0,1
2025-12-10 14:25:27,7,20,Black,1,1,0,0
2025-12-10 14:27:44,7,21,White,1,1,0,0
2025-12-10 14:31:17,7,22,Black,1,1,0,0
2025-12-10 14:34:49,7,23,White,-1,0,0,1
2025-12-10 14:38:13,7,24,Black,-1,0,0,1
2025-12-10 14:42:49,7,25,White,0,0,1,0
2025-12-10 14:46:23,7,26,Black,0,0,1,0
2025-12-10 14:48:51,7,27,White,1,1,0,0
2025-12-10 14:50:00,7,28,Black,-1,0,0,1
2025-12-10 14:52:14,7,29,White,-1,0,0,1
2025-12-10 14:55:12,7,30,Black,0,0,1,0
2025-12-10 14:57:53,7,31,White,-1,0,0,1
2025-12-10 14:59:56,7,32,Black,1,1,0,0
2025-12-10 15:03:24,7,33,White,-1,0,0,1
2025-12-10 15:05:02,7,34,Black,-1,0,0,1
2025-12-10 15:07:01,7,35,White,1,1,0,0
2025-12-10 15:10:28,7,36,Black,1,1,0,0
2025-12-10 15:14:53,7,37,White,-1,0,0,1
2025-12-10 15:16:49,7,38,Black,-1,0,0,1
2025-12-10 15:18:23,7,39,White,-1,0,0,1
2025-12-10 15:20:32,7,40,Black,0,0,1,0
2025-12-10 15:26:00,7,41,White,0,0,1,0
2025-12-10 15:28:20,7,42,Black,-1,0,0,1
2025-12-10 15:32:37,7,43,White,0,0,1,0
2025-12-10 15:37:20,7,44,Black,-1,0,0,1
2025-12-10 15:39:23,7,45,White,-1,0,0,1
2025-12-10 15:43:03,7,46,Black,0,0,1,0
2025-12-10 15:45:10,7,47,White,-1,0,0,1
2025-12-10 15:47:57,7,48,Black,-1,0,0,1
2025-12-10 15:49:42,7,49,White,0,0,1,0
2025-12-10 15:52:49,7,50,Black,-1,0,0,1
2025-12-10 15:57:00,8,1,White,1,1,0,0
2025-12-10 15:59:23,8,2,Black,0,0,1,0
2025-12-10 16:01:02,8,3,White,-1,0,0,1
2025-12-10 16:04:03,8,4,Black,0,0,1,0
2025-12-10 16:05:19,8,5,White,-1,0,0,1
2025-12-10 16:09:04,8,6,Black,-1,0,0,1
2025-12-10 16:10:41,8,7,White,-1,0,0,1
2025-12-10 16:11:36,8,8,Black,-1,0,0,1
2025-12-10 16:13:16,8,9,White,-1,0,0,1
2025-12-10 16:16:07,8,10,Black,-1,0,0,1
2025-12-10 16:19:54,8,11,White,1,1,0,0
2025-12-10 16:22:00,8,12,Black,-1,0,0,1
2025-12-10 16:25:57,8,13,White,0,0,1,0
2025-12-10 16:29:04,8,14,Black,-1,0,0,1
2025-12-10 16:31:57,8,15,White,-1,0,0,1
2025-12-10 16:35:40,8,16,Black,-1,0,0,1
2025-12-10 16:36:45,8,17,White,-1,0,0,1
2025-12-10 16:38:54,8,18,Black,-1,0,0,1
2025-12-10 16:41:43,8,19,White,-1,0,0,1
2025-12-10 16:44:48,8,20,Black,0,0,1,0
2025-12-10 16:47:36,8,21,White,1,1,0,0
2025-12-10 16:49:42,8,22,Black,-1,0,0,1
2025-12-10 16:51:45,8,23,White,-1,0,0,1
2025-12-10 16:56:42,8,24,Black,1,1,0,0
2025-12-10 16:58:47,8,25,White,0,0,1,0
2025-12-10 17:02:41,8,26,Black,1,1,0,0
2025-12-10 17:06:17,8,27,White,0,0,1,0
2025-12-10 17:09:49,8,28,Black,0,0,1,0
2025-12-10 17:12:27,8,29,White,-1,0,0,1
2025-12-10 17:15:06,8,30,Black,-1,0,0,1
2025-12-10 17:16:49,8,31,White,-1,0,0,1
2025-12-10 17:19:26,8,32,Black,0,0,1,0
2025-12-10 17:23:30,8,33,White,-1,0,0,1
2025-12-10 17:28:04,8,34,Black,0,0,1,0
2025-12-10 17:31:04,8,35,White,1,1,0,0
2025-12-10 17:35:19,8,36,Black,1,1,0,0
2025-12-10 17:37:41,8,37,White,1,1,0,0
2025-12-10 17:39:49,8,38,Black,-1,0,0,1
2025-12-10 17:43:20,8,39,White,0,0,1,0
2025-12-10 17:46:58,8,40,Black,1,1,0,0
